PSD_0.0Hz,PSD_25.0Hz,PSD_50.0Hz,Emotion
26.88166667,463.3666667,435.2016667,Happy
515.2266667,698.9333333,183.7066667,Happy
69.36,337.6908333,268.0016667,Happy
484.2016667,2036.243333,1552.041667,Happy
1302.426667,3472.6575,2169.801667,Happy
0.326666667,1159.586667,1159.26,Happy
229.4016667,2072.673333,1841.001667,Happy
562.6016667,1003.040833,440.3266667,Happy
475.26,628.0433333,150.0,Happy
14.10666667,101.8166667,88.16666667,Happy
204.1666667,2649.536667,2448.24,Happy
41.60666667,188.0966667,146.0266667,Happy
385.6016667,940.1666667,554.8816667,Happy
112.6666667,986.2933333,873.6266667,Happy
1241.281667,1564.654167,322.6666667,Happy
52.215,2980.760833,2930.46,Happy
915.135,2835.126667,1918.881667,Happy
101.6816667,435.3666667,333.015,Happy
403.44,747.0966667,343.5266667,Happy
322.6666667,374.2933333,51.62666667,Happy
1.126666667,216.4841667,214.8016667,Happy
11.76,723.3908333,710.6816667,Happy
812.0066667,827.5366667,12.90666667,Happy
340.5066667,648.75,308.1666667,Happy
34.56,132.3308333,98.415,Happy
133.4816667,1178.074167,1045.44,Happy
704.1666667,4564.973333,3860.806667,Happy
105.84,879.4908333,772.935,Happy
139.2016667,253.6541667,114.4066667,Happy
1.041666667,860.1666667,856.815,Happy
38.50666667,1669.216667,1633.5,Happy
1.815,28.16666667,26.04166667,Happy
482.4066667,1826.413333,1344.006667,Happy
420.0066667,460.6966667,38.50666667,Happy
868.8066667,1132.813333,264.0066667,Happy
17.00166667,51.9,35.04166667,Happy
282.9066667,1810.230833,1526.415,Happy
676.2816667,1451.414167,775.2066667,Happy
612.06,1236.323333,624.24,Happy
343.5266667,1409.043333,1066.666667,Happy
90.48166667,861.9266667,772.935,Happy
64.02666667,540.4166667,475.26,Happy
398.535,509.3933333,110.0816667,Happy
532.0416667,3241.416667,2709.375,Happy
366.6016667,517.6033333,151.0016667,Happy
403.44,1313.230833,910.2016667,Happy
612.06,777.5233333,166.4266667,Happy
352.6666667,354.6833333,0.54,Happy
506.0016667,2430.3,1926.041667,Happy
10.66666667,192.8508333,182.6016667,Happy
137.2816667,2638.323333,2501.041667,Happy
156.06,909.3108333,754.8816667,Happy
454.14,2820.016667,2368.106667,Happy
734.8266667,3516.933333,2782.106667,Happy
1278.96,1566.163333,285.66,Happy
91.26,142.2041667,51.04166667,Happy
