Time,POz,Oz,P3,P4,O1,O2
3072,6.503448266823618,2.538899465745564,-0.2537218539885228,0.17506821210005952,12.966188374188917,15.369297167143694
3076,6.51048061723079,2.46990339937548,-0.1849133893621271,0.2596580477710266,12.867613475520576,15.075907826529829
3080,6.503609163773258,2.3944958953232054,-0.10304371556376406,0.31853520114528544,12.778733376752253,14.78659222587516
3084,6.476668675875978,2.3128453751074893,-0.014090799743899544,0.35328311937864076,12.702870017330824,14.513659192778128
3088,6.425943604479642,2.2259225512230616,0.07488749581385332,0.3660008190595304,12.64314435586614,14.267964624998307
3092,6.350581714143308,2.1357222427156883,0.15631567738341776,0.35911281133616696,12.602229263020378,14.058640945572808
3096,6.252543440325246,2.0451895790064434,0.222667658235769,0.3351065719450129,12.582013321800853,13.892863388409582
3100,6.136149501921674,1.9579261320026053,0.2670638299342523,0.29630366288246834,12.58328998181988,13.7757020948417
3104,6.0074085459267765,1.8778361856677588,0.28393932029406255,0.24478317095705834,12.60558686871965,13.71010992232506
3108,5.873186417396346,1.8087164833878628,0.2696223576877787,0.18236436463282354,12.647056979505505,13.69694332787331
3112,5.740169757976793,1.7536780608256508,0.2225521541601088,0.11043693299575576,12.704266112892416,13.734867294390899
3116,5.613712375883862,1.7144500296045433,0.14306702652342218,0.02961194848890549,12.771893805882783,13.820178528146108
3120,5.4968974534505115,1.6908775070239364,0.03300347566475831,-0.06055578847576993,12.842605130881052,13.946787027642586
3124,5.390162419992611,1.680924882313167,-0.10459920330161646,-0.1615101526957302,12.907335277917523,14.106556836557274
3128,5.291533552011532,1.6811767477638293,-0.26564094791793075,-0.2753113985617425,12.955962068442096,14.289956573173145
3132,5.1972099706656,1.6875375306858684,-0.4451196755494867,-0.4041616248761311,12.978139069207392,14.486805884099086
3136,5.102231748584073,1.6958690063593438,-0.637404639004045,-0.5499908270591024,12.964133261112753,14.686994963661402
3140,5.0011842740978905,1.7025490392294018,-0.8365093506275106,-0.7140395795037668,12.905691719644324,14.881226689652284
3144,4.888988530606982,1.7050265808099632,-1.0362287131377128,-0.8963532068243643,12.79695869574584,15.061817827303935
3148,4.761678996043661,1.702291653153461,-1.2302104838664296,-1.095304928966019,12.635276001486973,15.223413276262495
3152,4.616933023925639,1.695057261370543,-1.4121483525046854,-1.3073800737849983,12.421617484554922,15.363389529424879
3156,4.454242804390412,1.685600415169638,-1.5761121166678214,-1.5272823417975034,12.160596273838504,15.481887609000411
3160,4.2748875000354065,1.6774715307942016,-1.7167811887416713,-1.7481721659632248,11.860231152128668,15.581620827132294
3164,4.081927936650912,1.6753135119662839,-1.8293592568740475,-1.961840327893015,11.53166352910571,15.667589894505024
3168,3.880227407368544,1.6847835761889316,-1.9092268909485492,-2.1588535432991005,11.188796358992933,15.746651719386083
3172,3.6762948765925456,1.7123586452739723,-1.9516010633960035,-2.3288618673606964,10.847689989921273,15.826813067932184
3176,3.477828674067522,1.7648918480772435,-1.9513813097344201,-2.4611296961614797,10.525677217324372,15.91628513826335
3180,3.293101318200745,1.8490364610368115,-1.903138935990422,-2.5451316064448397,10.240363015442819,16.022531302699413
3184,3.1304263093107334,1.9707212392555438,-1.801177103126811,-2.5710571769784893,10.0086660398584,16.15150348763509
3188,2.997772966695214,2.134673609920586,-1.6397814568429179,-2.530294630273292,9.845861085546169,16.307040905948554
3192,2.902405952885266,2.343839179052962,-1.413874985006915,-2.416086043982085,9.764500369227735,16.490300702590574
3196,2.850479409274506,2.5986792275753814,-1.1200789919878462,-2.224370641227019,9.773278616108872,16.699243194581406
3200,2.8467066685571787,2.8965832680218666,-0.7578747075237637,-1.9545721584651006,9.876131704081036,16.928386812858182
3204,2.894250040478884,3.2316654922456145,-0.330510212276999,-1.6100754865680376,10.071820268851935,17.169006799620075
3208,2.994767442064392,3.5949635275007,0.1544688019746892,-1.198373746274543,10.353987604162086,17.409721281979685
3212,3.148388765119927,3.9748360850283095,0.6849907796161451,-0.7310235448807969,10.71151546317837,17.63728056807352
3216,3.3535122384172116,4.357427394772503,1.2445323597344864,-0.22342831767805607,11.129101081773317,17.837489865327733
3220,3.6065775845786927,4.727298390677783,1.8126709310487126,0.3057213674329257,11.58814803501715,17.996353251869504
3224,3.902054831192616,5.068375035075687,2.3662516423246327,0.8354737728982757,12.068023937717411,18.10146666796904
3228,4.232697795976318,5.3651536484273565,2.881032403404287,1.343963619608986,12.547519314301365,18.14345199774766
3232,4.589920261964909,5.603918105864417,3.333485383247044,1.8097795579773621,13.006240497091689,18.117107564255093
3236,4.964204822919415,5.7738014307391925,3.7025398734250987,2.2131859115835737,13.425823610652749,18.022093974120793
3240,5.345628336552905,5.8677141448242,3.9712489117652963,2.5372451707696446,13.791041653572725,17.863175040792346
3244,5.724582730691496,5.883152906198136,4.128336441429768,2.7688660518063997,14.090818881730323,17.65003748541923
3248,6.092545224629218,5.822691241002249,4.169358114751829,2.8995848502433406,14.318938263542245,17.396575426047665
3252,6.442600130526307,5.6938679698594346,4.097127901581393,2.9258186789256806,14.474163410323586,17.119530710711352
3256,6.769560450552941,5.508425137707734,3.9213131408066735,2.848577314544212,14.559738510205838,16.836633467519057
